"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Kenny Stills",3600,"Cle@Mia 01:00PM ET",7.250,"Mia"
"RB","Dwayne Washington",3600,"Det@GB 01:00PM ET",4.600,"Det"
"RB","Chris Johnson",3500,"Ari@Buf 01:00PM ET",5.800,"Ari"
"WR","Seth Roberts",3500,"Oak@Ten 01:00PM ET",7.700,"Oak"
"RB","Terrance West",3500,"Bal@Jax 01:00PM ET",6.250,"Bal"
"WR","Tyler Boyd",3500,"Den@Cin 01:00PM ET",8.600,"Cin"
"DST","Broncos ",3500,"Den@Cin 01:00PM ET",14.000,"Den"
"RB","DeAndre Washington",3400,"Oak@Ten 01:00PM ET",4.800,"Oak"
"WR","Andre Johnson",3400,"Oak@Ten 01:00PM ET",6.950,"Ten"
"RB","Chris Thompson",3400,"Was@NYG 01:00PM ET",10.350,"Was"
"WR","Terrelle Pryor Sr.",3400,"Cle@Mia 01:00PM ET",8.000,"Cle"
"TE","Dennis Pitta",3400,"Bal@Jax 01:00PM ET",14.550,"Bal"
"WR","Brandon LaFell",3400,"Den@Cin 01:00PM ET",10.000,"Cin"
"RB","Mike Gillislee",3300,"Ari@Buf 01:00PM ET",4.700,"Buf"
"WR","Jaron Brown",3300,"Ari@Buf 01:00PM ET",9.300,"Ari"
"WR","Rishard Matthews",3300,"Oak@Ten 01:00PM ET",6.800,"Ten"
"DST","Giants ",3300,"Was@NYG 01:00PM ET",7.500,"NYG"
"RB","Reggie Bush",3200,"Ari@Buf 01:00PM ET",-0.200,"Buf"
"WR","Robert Woods",3200,"Ari@Buf 01:00PM ET",4.000,"Buf"
"WR","Jeff Janis",3200,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Adam Thielen",3200,"Min@Car 01:00PM ET",8.750,"Min"
"WR","Kamar Aiken",3100,"Bal@Jax 01:00PM ET",1.700,"Bal"
"WR","Laquon Treadwell",3100,"Min@Car 01:00PM ET",0.000,"Min"
"TE","Kyle Rudolph",3100,"Min@Car 01:00PM ET",11.300,"Min"
"DST","Vikings ",3100,"Min@Car 01:00PM ET",16.500,"Min"
"RB","Jerome Felton",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"RB","Stepfan Taylor",3000,"Ari@Buf 01:00PM ET",0.000,"Ari"
"RB","Jonathan Williams",3000,"Ari@Buf 01:00PM ET",0,"Buf"
"WR","Brandon Tate",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"WR","Greg Salas",3000,"Ari@Buf 01:00PM ET",9.450,"Buf"
"WR","Marquise Goodwin",3000,"Ari@Buf 01:00PM ET",11.100,"Buf"
"WR","Walt Powell",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"WR","J.J. Nelson",3000,"Ari@Buf 01:00PM ET",2.100,"Ari"
"RB","Taiwan Jones",3000,"Oak@Ten 01:00PM ET",1.450,"Oak"
"RB","Jalston Fowler",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"RB","Jamize Olawale",3000,"Oak@Ten 01:00PM ET",6.050,"Oak"
"RB","Antonio Andrews",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"WR","Harry Douglas",3000,"Oak@Ten 01:00PM ET",2.050,"Ten"
"WR","Marc Mariani",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"WR","Kendall Wright",3000,"Oak@Ten 01:00PM ET",0,"Ten"
"WR","Andre Holmes",3000,"Oak@Ten 01:00PM ET",3.800,"Oak"
"WR","Johnny Holton",3000,"Oak@Ten 01:00PM ET",1.400,"Oak"
"RB","Bobby Rainey",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"RB","Orleans Darkwa",3000,"Was@NYG 01:00PM ET",0.600,"NYG"
"RB","Rob Kelley",3000,"Was@NYG 01:00PM ET",0,"Was"
"RB","Paul Perkins",3000,"Was@NYG 01:00PM ET",0,"NYG"
"WR","Dwayne Harris",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"WR","Tavarres King",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"WR","Ryan Grant",3000,"Was@NYG 01:00PM ET",0.750,"Was"
"WR","Josh Doctson",3000,"Was@NYG 01:00PM ET",4.300,"Was"
"WR","Rashad Ross",3000,"Was@NYG 01:00PM ET",0,"Was"
"WR","Roger Lewis",3000,"Was@NYG 01:00PM ET",0,"NYG"
"RB","Isaiah Pead",3000,"Cle@Mia 01:00PM ET",0,"Mia"
"RB","Malcolm Johnson",3000,"Cle@Mia 01:00PM ET",1.450,"Cle"
"RB","George Atkinson III",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"RB","Damien Williams",3000,"Cle@Mia 01:00PM ET",4.800,"Mia"
"WR","Andrew Hawkins",3000,"Cle@Mia 01:00PM ET",2.850,"Cle"
"WR","Justin Hunter",3000,"Cle@Mia 01:00PM ET",0.000,"Mia"
